Education,Labels
" Proficient in Microsoft applications (including Word, PowerPoint and Excel)",2
"Bachelor of Commerce, major in Accounting and Finance",1
Singapore Polytechnic,3
FRM Charter holder since June 2010,1
2018 Level III Candidate in the CFA Program,1
Singapore Institute Of Management,3
Diploma in Computer Based Information Systems- National Institute of Business Management,1
grow by making positive,0
 Competed | Code Night V2.0 hackathon (2017),0
Strategy & Development,2
"Alison.com, Ireland",0
 Process various customer requests [Maintenance Section] such as linking company,2
"TPG Capital, Limited (license type 1, 4)",0
BSc (Hons) Accounting and Finance Sep 2012 May 2015,1
Foundation (2019 Present),0
BSc (Hons) Banking and Finance Degree University of London,1
Strategy & Development,2
Hong Kong Certificate Education of Examination (2008),1
 Full set fund accounting and NAV valuation,0
Firelix Technologies (Pvt) Ltd,0
Battaramulla,0
 Preparation of annual audit-related reports,2
"Mar 2014 to December 2016 Fund Accountant at Citco Fund Services (Singapore), Shared Services",0
" Pass with Merit, with distinctions in Accounting, Managing Personal Assets & Finance and Business Finance.",1
(University of Colombo School of Computing) 2019,3
English Training Course,1
Google Analytics for Beginners Stage 01,1
 Salutatorian (2nd of the Graduating Batch),1
an opportunity to learn and,0
"(Penang, Malaysia, Chinese Medium)",0
2017 - 2018 2018 - 2018 2018 - 2019 2019 - Present,0
Murdoch University May 2014 Mar 2016,3
2012 - 2016 G.C.E. Advance Level examination 2016 2C 1S (Physical Science Stream),1
(LONDON) 2018,0
Ngee Ann Polytechnic 2007 2010,1
Colombo GCE Advanced Level,1
Non-related References,0
Specialist Diploma in Fund Management (Part-time),1
Coaching juniors in understanding calculation of NAV process and firm’s,2
Omobio (Pvt) Ltd,0
Present)  Developer | Mozilla Activate WebVR Team,0
 With distinction in Mathematics.,1
Business Analyst Jan 2015 to July 2015,0
Weerakoon Achchige Amila Anuradha Perera,0
"Novaliches High School Quezon City, Philippines 1998 2002",3
"administrators & signatories, product package (Basic/Professional) and bank",0
" Others - Business Intelligence, Computer Languages, Macro, SAP",2
 With distinctions in Mathematics.,1
//github.com/MWHlabs/OrchidNursery.gi,0
"ASP.NET MVC , MS SQL ,",2
"Ernst & Young - Senior Accountant, Assurance Oct 2010 Jan 2014",0
 NAV computation and financial statements consolidation (incl. performance fees calculation),2
GCE O Levels,1
"teacher, principal, student's parent, accountant and",0
Academic Qualifications,0
accurate to my knowledge.,0
Higher Diploma in Computer Based Information Systems- National Institute of Business Management,1
 Analyse financial data at portfolio company level to determine correct valuations,2
each of eleven Asian countries on the basis of exceptional academic achievement and proven leadership skills. 2006- 2010,0
Hedge Fund Administration,2
 Master Degree in Knowledge Management - Nanyang Technological University of Singapore,1
"Software Skills Microsoft Outlook, Word, Power Point and Bloomberg. Familiar with Excel with very",2
Hong Kong Certificate Education of Examination (2008),1
Software Engineering,2
"motivated, well organised, and",0
PowerPoint  has a sense of leadership,0
"financial system. It contains six actors student,",0
Principles of Banking and Finance,2
M e m b e r s h i p & A f f i l i a t i o n s,0
 Provide full suite client service to investment managers,0
"holdings. Its’ subsidiaries, associates and jointly controlled entities are principally engaged in investment holding,",0
"3.74/4.0 Money, Banking and Financial Markets, Macroeconomic and Microeconomic Analysis, Open Economy",0
"INSEAD, Master of Business Administration (MBA), Full-Time Program December 2017",0
Veracity Dev,0
2003 2008 Concordia Lutheran School,3
 Working closely with account manager in the launch and set up of new funds.,0
TOOLS I am a Software Engineering graduate in University Of Plymouth,3
Chaminda Chanaka,0
"out of suspended/halted securities, performing P/L market value checks.",0
"Mirihana Road, Nugegoda",0
deadlines are met.,0
"3.74/4.0 Money, Banking and Financial Markets, Macroeconomic and Microeconomic Analysis, Open Economy",0
"LANGUAGES English, Chinese",0
The CITCO Group of Companies,0
GraphQL Redux JavaScript NodeJS Java / SpringBoot,2
 ACCA Level 3 P Level,1
Time Management,2
5As 3Bs and C (English A Mathematics,1
Microeconomics,2
"As a purely investment holding and management company, the multi-national company’s core activity is financial",0
 Handle Month end for the private equity fund and management company,2
"Wesleyan Freeman Asian Scholarship, a full four-year scholarship awarded annually to one outstanding candidate from",1
2008 2009 Hong Kong Institute of Vocational Education,3
 Ensure queries related to fund valuations and reconciliation differences are promptly investigated and resolved,2
" Develop and maintain relationships with investment advisors/managers, banks,",2
PERSONAL DETAILES,0
"Securities broker representative license 1&2, TOEIC 870.",0
June 2003- Mar 2006,0
"Prepare financial reporting for hedge funds, - Calculation of Net Asset",2
" Familiar with Accounting systems like Financial Force, Sales Force, MS Dynamics, Tally",0
"Pro - X Technologies (Pvt) Ltd,",0
Bachelor of Art in Accounting (Lower Second Class Honour),1
" Act as interface to investment companies and fund managers, assuring them to meet their reporting obligations",2
INTELLISOFT SYSTEMS Mar 2016,0
"Referee  Winston Thng, COO, Amundi Singapore Ltd",0
 Manage SPV companies and their bank accounts,2
 NAV computation and financial statements consolidation (incl. performance fees calculation),0
basis while ensuring deadlines are met.,0
 Youth Council Philippines (Chairperson) 2002 to 2007,3
2020)  Object Oriented Programming with C++ - Build,0
Additional Information,0
Achievements,0
Kaplan Singapore,0
ACCA 2015 2017,1
CFA Charter holder since January 2016,1
Chung Cheng High School (Main),3
Certificate June 2009 Certificate in Technical Analysis (Finance) awarded by Singapore Technical,1
2012 BNY Mellon Aspire Team Outperformance Award for Q4 2011,0
"Technology and Operation, Business Internet Banking (BIB) Took on “maker”",0
expense through in-house system and booking of fund income/fee,0
"Bachelor of liberal arts, International Relations and Asian Economic history",1
invaluable experience in my field of interest. I hereby certify the information furnished above true and,0
National University of Singapore GRADUATED JULY 2011,0
 Valedictorian (1st of the Graduating Batch),1
 Analyse financial data at portfolio company level to determine correct valuations,2
"variance swap and CDS. Also include stale price report check, flagging",0
worked in Apex's favor as a recent entrant in the fund administration space.,0
National Apprentice & Industrial,0
 Systems and Database Design Build a,0
"Perform daily and month end reconciliation of cash, trade and positions",2
Apex Fund Services (Singapore) Pte. Ltd.,0
"Macroeconomics, Healthcare Economics, Advanced Calculus, Social Psychology, Human Memory, Advanced Mandarin",2
" Prepare capital call calculation, drawdown notice, expense allocation",0
2006-2007 Three “A” student of Zhengzhou University,0
Valuation and Securities Analysis,2
Securities valuations include validation of market prices against vendors,0
"focused in growth cities in Asia Pacific, Americas, Europe and the Gulf Cooperation Council (GCC) countries.",0
 Novaliches High School Newspaper (Managing Editor) 2001 to 2002,1
Hong Kong Exchanges and Clearing Limited (0388),3
3H Health Investment Management (HK) Ltd. (Private equity),0
worked in Apex's favor as a recent entrant in the fund administration space.,0
"Nagkaisang Nayon Elem. School Quezon City, Philippines 1992 1998",3
CFA Institute Oct 2016,3
 Assist in business planning and mapping tasks,2
Business and Technology) Successfully completed in,0
AES Academy of English Studies,3
Informatics Institute Of Technology,3
"617D Punggol Drive, #02-827, Singapore 824617",0
"Graduated with a Diploma in Business Information Technology, May 2001 to June 2004",1
Apex Fund Services (Singapore) Pte. Ltd.,0
"as an Mobile Software Engineer, where i can use my strong programming",0
Pasindu Vimansa,0
"managers, brokerages and headquarter in Dublin.",0
Mathematical Modelling & Statistics at Wayamba University of,3
ACADEMIC REFEREES,0
"holdings. Its’ subsidiaries, associates and jointly controlled entities are principally engaged in investment holding,",0
 Support fund formation and setup activities,0
"percentage of illiquid securities while structuring share class offering, subscription and redemption terms and",0
Macroeconomics,2
"English Microsoft Excel, Word and Powerpoint",2
Logistic Coordinator - Mentoring Weekend Program,0
 Preparation of financial statements and other required reports on a weekly/monthly,2
"University of Melbourne, Australia",3
"(Yong Peng High School, Johor, Malaysia)",3
Phone 0765838213/ 011- 2235050,0
 Perform daily/weekly/monthly audit and customised checks to ensure the accuracy of portfolio reporting,2
"internship. As a reliable, self-",0
Foundation Studies,0
"performances fees, equalisation and forced redemption .",0
"Google Analytics Academy, United States",3
 Competed | Code Sprint organized by IIT (2018),0
SCHOOL MANAGEMENT SYSTEM,0
SOFTWARE ENGINEERING | ACBT Second Year (2019-,0
12th November 1989,0
VS Code / IntelliJ,2
" Units include accounting, economics, financial reporting, auditing, financial management, etc.",2
" Proficient in English, Mandarin and Malay",2
 Bachelor of Information Technology (External) of UCSC,3
Institution Year of Completion Qualification Attained,1
 Support new clients conversion projects,0
" Familiar with Accounting systems like Financial Force, Sales Force, MS Dynamics, Tally",2
funds assigned to them and reviewing of their work.,0
"English, Chinese, Cantonese",2
 Jaime Torres Scholarship Program Scholar,1
 Preparation of financial statements and other required reports on a weekly/monthly,0
" Science A  English A  Ananda College, Colombo 10",1
2017 Present,0
2008 2009 Hong Kong Institute of Vocational Education,3
CONTACT INFORMATION,0
"2007-2010 Bachelor of Commerce, Rajasthan University, India",1
with good experience in cross platform and native mobile development.,0
 B.Sc. (Joint Major) Degree in Industrial Management and,1
accounts.  Access Bank Wide Customer Information Facility (BWCIF) for extracting/verifying,0
EXPERIENCE Senior Fund Accountant Sept 2015 to Present,0
Anglia Polytechnic University,3
GCE A Levels,1
"correctly at fund, class and investor level. Process payment of fund",0
"intercommunication chat system, and basic",0
BSc in Management Information Systems (NSBM),1
"Apex advises managers to consider the overall implication of fund strategies, asset classes, portfolio turnover,",2
Bachelor in Accounting & Finance (Second Class Honours Upper Division),1
CGPA 2.93 (Up to 3rd Year 1st semester),1
2012 Sinhala English,1
Services Centre,0
" Asoka Vidyalaya, Colombo 10",3
performance of your company,0
"July 2002 July 2003 Trinity College, VIC, Australia",3
Frontend and for Backend used C# for,0
HONORS 2005-2006 Scholarship of Zhengzhou University,1
"GCE O’ Level, 1996 to 2000",1
DOB 04/08/83 • Singaporean • Chinese,0
Generating associated daily reports for major hedge funds while meeting,0
Sudharshan Welihinda,0
"Enhanced Investment Products Limited (license type 4, 5, 6, 9)",0
"Graduated with a Bachelor of Science in Banking and Finance (Hons), Sept 2007 to Sept 2009",1
tight deadlines and fund’s requirements.,0
"focused in growth cities in Asia Pacific, Americas, Europe and the Gulf Cooperation Council (GCC) countries.",0
Saman Hettiarachchi,0
High Diploma in Business and Human Resource Management,1
" Reconciliation of trades, portfolio positions and cash flows (capital calls, distributions etc)",2
Current holder of SFC Type 9 License,1
"Tsuda University, Tokyo Mar 1998",3
Bachelor of Engineering in,1
 Review Over the Counter (OTC) master agreements,0
Upamali Kaushalya Date,0
"The organisation offers a complete range of accounting, middle office administration, shareholder and corporate",0
 Bachelor of Commerce in Accounting and Finance,1
 Chemistry C,2
Certification,0
TSL Group Pte Ltd,0
 Novaliches High School Newspaper (Managing Editor) 2001 to 2002,0
"using in-house reconciler / excel spread sheet, supported by client’s",0
Graduate (F.5),1
FRM Charter holder since June 2010,1
 Mathematics A,2
Software Engineer,1
"Graduated with a Bachelor of Science in Banking and Finance (Hons), Sept 2007 to Sept 2009",1
 Graduated with a Bachelor of Arts (MERIT) in Economics,1
 Advanced MS Excel 2013,2
 Interpret financial statements to measure investment performance (P&L attribution),2
Male Married Sri Lankan 94 76 447 5342,0
"notice periods, varying fee structures, redemption gates and lock up period.",0
University of London,3
making Communicating and report,2
"Hobby Golf, skiing, snowboarding, scuba diving and running",0
"July 2003 June 2006 University of Melbourne, VIC, Australia",3
Grade Asc Degree,1
Head of Mobile Development,0
Centre Perform fund administration services to European hedge funds - Clients,0
Diploma in Management Studies Apr 2011- Jun 2012,1
"new bank account, reissuing of password/tokens, creation and termination of",0
ACHIEVEMENTS,0
CFA Charter holder since January 2016,1
"Tsuda University, Tokyo Mar 1998",3
 Full set fund accounting and NAV valuation,2
"Hobby Golf, skiing, snowboarding, scuba diving and running",0
blotters and broker statements.,0
 advance knowledge in,0
 Support fund formation and setup activities,2
"Leopard Cambodia Fund, L.P",0
Ngee Ann Secondary School,3
//www.linkedin.com/in/ukc-911044182,0
Dream Team - Amateur Youth Advocacy member,0
services to hedge funds and collective investment schemes.,0
 Preparation of annual audit-related reports,0
HONORS 2005-2006 Scholarship of Zhengzhou University,3
"property investment and development, laundry business, property management, trading and other services that are",2
"Wesleyan Freeman Asian Scholarship, a full four-year scholarship awarded annually to one outstanding candidate from",0
"Macroeconomics, Healthcare Economics, Advanced Calculus, Social Psychology, Human Memory, Advanced Mandarin",0
WORKING EXPERIENCES (last position),0
GCE A/L Examination in Commerce Stream (2017),1
2006-2007 Outstanding student leaders of Zhengzhou University,0
"LANGUAGES English, Chinese",2
Personal Summary,0
PowerPoint  has a sense of leadership,2
"Sachs , Winton Capital and current major client, Marshall Wace",0
 Bachelor Degree in Computer Science & Technology - Zhengzhou University of China,1
2009 G.C.E. Ordinary Level Examination,1
PHP / HTML / CSS,2
2012 BNY Mellon Aspire Team Outperformance Award for Q4 2011,0
Tharindu Abeywardhana,0
2014 Promotion to Senior Fund Accounting Analyst,0
Teamwork and adaptability,2
Investment Management,2
Value and preparation of Statement of Asset and Liabilities and Profit and,2
"Intermediate Access, ACCPAC Accounting Software, UBS Accounting Software",2
(Specialization - Software Engineering),1
 Support property redevelopment project costing and capital budgeting work,2
Business Analyst Jan 2015 to July 2015,0
Hong Kong Certificate Education of Examination (2009),1
Database System For a Bookstore (Using,2
Postman / REST Client,2
notarization,2
 Sri Lanka Institute of Information Technology,3
"CPA, Hong Kong Institute of Certified Public Accountants November 2013",0
issues.  Assist account manager to prepare reports for auditors and respond to auditor,0
Director - Operations,0
Financial Intermediation,2
Other Certificates and Courses Attended,0
 Delineate and build business and financial models for marine-related joint venture projects,0
Smart Valley Sri Lanka ( Startup Team in NSBM ),0
Ensuring capital transactions are booked correctly and P&L is allocated,2
Training Authority (NAITA),0
First Class Honours,1
Informatics Institute Of Technology,3
TECHNOLOGIES,0
include Goldman,0
Expected Graduation Year 2021,0
St.Nicholas' International College-,3
"The organisation offers a complete range of accounting, middle office administration, shareholder and corporate",0
ADDITIONAL INFORMATION,0
" Proficient in Microsoft applications (including Word, PowerPoint and Excel)",2
"open-minded individual, I seek",0
 Assist account manager in any ad-hoc projects when necessary,0
Hedge Fund Administration,0
GCE Ordinary Level - 2012,1
"Sri Lanka, Second Class Lower 2019",0
"Peace, Reconciliation and Youth Development program for school students",0
 Willing to travel for work purpose.,0
"2007-2010 Bachelor of Commerce, Rajasthan University, India",1
UNIVERSITY OF WESTMINSTER,3
Singapore Polytechnic Apr 2006 Apr 2009,3
 Support property redevelopment project costing and capital budgeting work,2
B Science C),1
B.sc special (Hons) - Information Technology,1
 Liaise with tax adviser for the investment structure and the fund to minimize the tax,0
MISCELLANEOUS INFORMATION,0
t) Final Project Website (Using React For,2
Mobile Developer,2
"Co Founder , Head of Development ,",0
"University Of London,",3
(NVQ Level 4),1
 Assist in verifying test results of system enhancement program,2
 CFA Institute Investment Foundations,1
 Valedictorian (1st of the Graduating Batch),1
EXPERIENCE Senior Fund Accountant Sept 2015 to Present,0
2006 - 2012 G.C.E. Ordinary Level examination 2012 8As 1B,1
Aug 2007 Sept 2010,0
PROFESSIONAL QUALIFICATION,0
GCE Advance Level - 2015 Mathematical Stream,1
on monthly basis.,0
tissera-73b510164,0
National Apprentice & Industrial,0
" Prepare quarterly report and annual account in U.S. GAAP and ""letter to the investor""",0
Mar 2009 Nov 2009 Nanyang Polytechnic Singapore,3
ACHIEVEMENTS,0
"Novaliches High School Quezon City, Philippines 1998 2002",3
 Assist in verifying test results of system enhancement program,2
 Toastmasters International Jan 2013 to present,0
M e m b e r s h i p & A f f i l i a t i o n s,0
"Ceylon Linux (pvt) Ltd,",0
" knowledge of Fund Accounting software and applications Bloomberg, Reuters, and",0
2018 Level III Candidate in the CFA Program,1
"2009 2013 School of Continuing and Professional Studies,",3
"Mar 2006 to Mar 2009 Diploma in Banking and Financial Services (Major in Financial Trading),",1
National University of Singapore GRADUATED JULY 2011,3
Westpac Banking Corporation’s HK Branch,0
 Freelancer | Fiverr.com (2017 Present),0
 Assist to process daily influx of BIB account opening [Application Section] through,0
"Referee  Winston Thng, COO, Amundi Singapore Ltd",0
"English, Chinese, Cantonese",2
"property investment and development, laundry business, property management, trading and other services that are",2
 Common General Test 75%,1
"2013 Part-time Bank Assistant at United Overseas Bank (Singapore), Group",0
2006-2007 Outstanding student leaders of Zhengzhou University,2
and make suggestions for process improvement.,0
TSL Group Pte Ltd,0
 Technical Writer | TechWire.lk and ReadHub.lk (2018,2
waterfall/carried interest,0
High School Studies,0
"investor queries, pro-activeness in discussing potential concerns and timely delivery of NAV's to clients have",0
 Support new clients conversion projects,2
S p e c i a l S k i l l s,0
China Citic Bank International,0
"notice periods, varying fee structures, redemption gates and lock up period.",0
Foundation Diploma in Computer Stream,1
DOB 04/08/83 • Singaporean • Chinese,0
 Interpret financial statements to measure investment performance (P&L attribution),2
clients. We also provide Administration services to Singapore domiciled Funds under the Enhanced Tier,0
"Temasek Polytechnic, Singapore",3
"Bachelor of liberal arts, International Relations and Asian Economic history",1
 Continue to perform fund services to European hedge funds but take on higher,0
"Wesleyan University, Middletown, Connecticut, United States of America May 2010",3
" Reconciliation of trades, portfolio positions and cash flows (capital calls, distributions etc)",2
"Nagoda, Kandana",0
ABOUT ME B.sc special (Hons) in Software,1
brokers and investor relation group.,0
Union High School 1990 to 1996,3
Resolve day to day trade and cash discrepancies with investment,2
 Research the most tax savvy and efficient way to strategically form overseas in-house partnerships,2
basis while ensuring tight deadlines are met.,0
"Units include marketing, human resources, information system for business, business mathematics, etc.",2
Technology Technician (NVQ Level 4),0
services to hedge funds and collective investment schemes.,0
University of London 2012 2014,3
Apex has established itself in Asia as an expert fund administrator with a highly responsive service levels to their,0
Management Science Methods,2
in developing comprehensive,0
The school management system is an information,0
(5019753) B A GCE O/L Examination (2014) (40064247),1
2013 Citibank N.A. RSC RFAU Outperformance Team ARC Award for Q3 2013,0
R/Mihindu Vidyalaya,1
"HOLLY Dec 2016 to Present Senior Fund Accountant at Citco Fund Services (Singapore), Shared",0
MySQL XML MacOS / Windows / Linux,2
Colombo (2019,0
weliiit.ac.lk,0
Senior Lecturer,0
 Web Development,2
 Delineate and build business and financial models for marine-related joint venture projects,2
 Ensure queries related to fund valuations and reconciliation differences are promptly investigated and resolved,2
CFA Institute 2016 2016,3
Asc Degree Major Accounting & Finance,1
each of eleven Asian countries on the basis of exceptional academic achievement and proven leadership skills. 2006- 2010,2
" Liaise with auditors (both fund, management company and SPVs)",2
S p e c i a l S k i l l s,0
BSc (Hons) Software Engineering,1
 Youth Council Philippines (Chairperson) 2002 to 2007,0
"Securities broker representative license 1&2, TOEIC 870.",0
Flutter Firebase / Mongo DB,2
Malaysia Education Certificate,1
Mobile Software Engineer,1
 Salutatorian (2nd of the Graduating Batch),1
2013 Citibank N.A. RSC RFAU Outperformance Team ARC Award for Q3 2013,0
Educational Qualifications,0
2013 University of London,3
University of Cambridge 1997,3
DBS Bank (Hong Kong) Limited (“Macau Branch”),0
"617D Punggol Drive, #02-827, Singapore 824617",0
Microsoft SQL Server Management System),2
"GCE O’ Level, 1996 to 2000",1
software. CONTACT 071 139 1848,0
 Communicate with the LPs to explain the calculation of equalization amount and the,2
Current holder of SFC Type 9 License,1
analysts & Trader Society - Taken due to self interest,2
 Fluent in English and Hindi.,2
Fund Accountant May 2013 to Jan 2015,0
Apex has established itself in Asia as an expert fund administrator with a highly responsive service levels to their,0
Training Authority (NAITA),3
operations. Oct 2013 to Dec,0
UI Engineer /Web Developer,2
Diploma in Business Studies,1
 Fluent in English and Hindi.,2
The CITCO Group of Companies,0
delayed.  Troubleshooting with with technical support team to resolve financial reporting,2
" Chew Soo Ee, FVP, UOB Asset Management",0
share classes.,0
"July 1999 June 2002 Wage Rudolf Supratman, Medan, Indonesia",3
 Assist investment team to liaise with bank for bank proofing documents and Law firm for,2
"Nagkaisang Nayon Elem. School Quezon City, Philippines 1992 1998",3
RESTART BOOTCAMP (SLTC CAMPUS) (COMPLETED),1
"Address No 24/3 St.Bridget’s Mw,",0
Present)  Content Creator | YouTube (2016 Present),0
 4S Share a Secret Spread Success Foundation 2007 to present,0
"Skill Advanced AS400, Excel, Microsoft Office, Outlook, PowerPoint",2
 Creation of Remittance (ROS) and Inter-Bank Giro (IBG) for electronic bulk services.,2
 Coordinate / Instruct external administrator of the funds on fund operation issues,2
High Diploma in Business and Human Resource Management,1
 Jaime Torres Scholarship Program Scholar,1
Bachelor's Major Banking & Finance,1
exposure  Liaise with bank for currency exchange and possibility of setting up bridge loan,0
SKILS Leadership and Decision-,2
a banking system (Using Visual Studio c++),2
"Structure. The availability of professionally qualified staff locally, the quick turnaround time for manager and",0
Bsc(Hons) in Computing- Wrexham Glyndwr University,1
 Review Over the Counter (OTC) master agreements,0
 ACCA Level 3 P Level,1
responsibility by handling funds with bigger AUM.,2
 Parish Youth Ministry Philippines (Adviser) 2000 to present,0
" knowledge of Fund Accounting software and applications Bloomberg, Reuters, and",2
Scissors game (Using Python),2
BACHELOR DEGREE IN COMPUTER SCIENCE (MAJOR IN,1
Certification,0
 Semi-finalists | iHack organized by UCSC (2019),0
Fund Accountant May 2013 to Jan 2015,0
 Set up internal procedure/template,2
" Chew Soo Ee, FVP, UOB Asset Management",0
 Diploma in Information Technology,1
Information and Communication,0
From 2004-2017-St. Joseph’s College Col-10.,3
"bank intranet system. Processes include entering company details, appointed",2
"on the various listed securities and OTC products such as options,",0
basic understanding on VBA macro.,2
 Assist in business planning and mapping tasks,2
Personal Summary,0
 Toastmasters International Jan 2013 to present,0
React-Native,2
MCKENZIE LIM Sui Heng,0
Unified Examination Certificate (UEC) Jan 2005 Nov 2010,1
Foundation Diploma in Computer Stream,1
3H Health Investment Management (HK) Ltd. Finance manager Jul 2016 Present,0
Chung Cheng High School (Main),3
 Parish Youth Ministry Philippines (Adviser) 2000 to present,0
"Graduated with a Diploma in Business Information Technology, May 2001 to June 2004",1
" Ms Office (Excel, Word and PowerPoint)",2
 Manage juniors and assist them in work to ensure deliverable of funds are not,2
Bsc Accounting And Finance,1
Collage of Technology (COT),2
 Provide full suite client service to investment managers,2
Hedge Fund Administration,0
 Physics C  Combined Mathematics S,2
 Graduated with a Bachelor of Arts (MERIT) in Economics,1
" Others - Business Intelligence, Computer Languages, Macro, SAP",2
The Chinese University of Hong Kong,3
2006-2007 Three “A” student of Zhengzhou University,0
PricewaterhouseCoopers (Auditing),0
Ranked 4/56.,0
3.1 / 4 Temasek Polytechnic Apr 2009 Apr 2012,3
"Bachelor’s Degree, Finance and Marketing",1
Chartered Financial Analyst (CFA),1
ACCA Level 2,1
Anderson Junior College,3
"2011-2013 FORDHAM UNIVERSITY, GRADUATE SCHOOL OF BUSINESS New York, NY",3
South Australian Matriculation,0
 Passed AICPA，CFA Level III exams,1
"Kaplan Financial Institute, Singapore",3
BSc Accounting and Finance (First Class Honors),1
"3.4  Activities Student Government, Economics Department, Undergraduate Accounting Society",0
"Tan Jian He, Nathan",0
Diploma in Accountancy,1
Ngee Ann Secondary School Jan 2005 Nov 2008,0
City University of Hong Kong Hong Kong,3
81/100 (Top 3 in programme; Distinction in all subjects; Member of Beta Gamma Sigma),0
3.23) Diploma in Business Studies 09/2011 06/2012,1
 Bachelor of Accounting (Honors),1
"Sinaran Institute, Malaysia",3
KPMG (Aug 2011 Present),0
Audit Manager,0
Bachelor of Accountancy (Honors),1
BSc. Economics (second major in Finance),1
EDUCATION Singapore Management University (SMU) Aug 2008 Jun 2012,3
"Corporate Finance, Fixed Income Securities, Derivative Securities",2
"Strathclyde Business School, University of Strathclyde Aug 2012 Jan 2013",3
Hwa Chong Institution Jan 2002 Dec 2007,3
"Completed, 2012",0
 Skills and experience,0
"SKILLS, TRAINING AND LANGUAGES",0
 Ranked 16th among the best undergraduate business programs in the US by BusinessWeek,0
University of Sydney July 2012 to June 2014,3
Accounting and Banking management,2
"Fund Services included Trade Processing, Investor Services & KYCAML",0
Chung Cheng High Secondary,3
MMU Dean’s List Award from Year 2005 to 2009,0
All Saints Secondary School,3
 CPA Australia,3
Diploma in Info-Communications (Jul 2005 to May 2008),1
 University of London,3
"Native Cantonese, Fluent English & Mandarin",2
1 out of 45),0
" Relevant coursework in Economics modeling, Business Forecasting, and Financial Accounting",2
"RenMin Scholarship, 7 times (Top 10%).",0
 Fluent in English; native in Chinese,2
Lingnan University,3
" Fall Exchange Program in Akademia Leona Koźmińskiego, Warsaw, Poland from Sep 2010 Jan 2011",0
